frame,time_seconds,visibility
286,9.53,No Logo
287,9.57,No Logo
288,9.6,No Logo
289,9.63,No Logo
290,9.67,No Logo
291,9.7,No Logo
292,9.73,No Logo
293,9.77,No Logo
294,9.8,No Logo
295,9.83,No Logo
296,9.87,No Logo
297,9.9,No Logo
298,9.93,No Logo
299,9.97,No Logo
300,10.0,No Logo
301,10.03,No Logo
302,10.07,No Logo
303,10.1,No Logo
304,10.13,No Logo
305,10.17,No Logo
306,10.2,No Logo
307,10.23,No Logo
308,10.27,No Logo
309,10.3,No Logo
310,10.33,No Logo
311,10.37,No Logo
312,10.4,No Logo
313,10.43,No Logo
314,10.47,No Logo
315,10.5,No Logo
316,10.53,No Logo
317,10.57,No Logo
318,10.6,No Logo
319,10.63,No Logo
320,10.67,No Logo
321,10.7,No Logo
322,10.73,No Logo
323,10.77,No Logo
324,10.8,No Logo
325,10.83,No Logo
326,10.87,Fully Visible
327,10.9,Fully Visible
328,10.93,Fully Visible
329,10.97,Fully Visible
330,11.0,Fully Visible
331,11.03,Fully Visible
332,11.07,Fully Visible
333,11.1,Fully Visible
334,11.13,Fully Visible
335,11.17,No Logo
336,11.2,Fully Visible
337,11.23,Fully Visible
338,11.27,Fully Visible
339,11.3,Fully Visible
340,11.33,No Logo
341,11.37,No Logo
342,11.4,Fully Visible
343,11.43,Fully Visible
344,11.47,No Logo
345,11.5,No Logo
346,11.53,No Logo
347,11.57,No Logo
348,11.6,No Logo
349,11.63,No Logo
350,11.67,No Logo
351,11.7,No Logo
352,11.73,No Logo
353,11.77,No Logo
354,11.8,No Logo
355,11.83,No Logo
356,11.87,No Logo
357,11.9,No Logo
358,11.93,No Logo
359,11.97,No Logo
360,12.0,No Logo
361,12.03,No Logo
362,12.07,No Logo
363,12.1,No Logo
364,12.13,No Logo
365,12.17,No Logo
366,12.2,No Logo
367,12.23,No Logo
368,12.27,No Logo
369,12.3,No Logo
370,12.33,No Logo
371,12.37,No Logo
372,12.4,No Logo
373,12.43,No Logo
374,12.47,No Logo
375,12.5,No Logo
376,12.53,No Logo
377,12.57,No Logo
378,12.6,No Logo
379,12.63,No Logo
380,12.67,No Logo
381,12.7,No Logo
382,12.73,No Logo
383,12.77,No Logo
384,12.8,No Logo
385,12.83,No Logo
386,12.87,No Logo
387,12.9,No Logo
388,12.93,No Logo
389,12.97,No Logo
390,13.0,No Logo
391,13.03,No Logo
392,13.07,No Logo
393,13.1,No Logo
394,13.13,Partially Visible
395,13.17,No Logo
396,13.2,No Logo
397,13.23,No Logo
398,13.27,No Logo
399,13.3,No Logo
400,13.33,No Logo
401,13.37,Partially Visible
402,13.4,No Logo
403,13.43,No Logo
404,13.47,No Logo
405,13.5,No Logo
406,13.53,No Logo
407,13.57,Partially Visible
408,13.6,No Logo
409,13.63,No Logo
410,13.67,No Logo
411,13.7,No Logo
412,13.73,No Logo
413,13.77,No Logo
414,13.8,No Logo
415,13.83,No Logo
416,13.87,No Logo
417,13.9,No Logo
418,13.93,No Logo
419,13.97,No Logo
420,14.0,No Logo
421,14.03,No Logo
422,14.07,No Logo
423,14.1,No Logo
424,14.13,No Logo
425,14.17,No Logo
426,14.2,No Logo
427,14.23,No Logo
428,14.27,No Logo
429,14.3,No Logo
430,14.33,No Logo
431,14.37,No Logo
432,14.4,No Logo
433,14.43,No Logo
434,14.47,No Logo
435,14.5,No Logo
436,14.53,No Logo
437,14.57,No Logo
438,14.6,No Logo
439,14.63,No Logo
440,14.67,No Logo
441,14.7,No Logo
442,14.73,No Logo
443,14.77,No Logo
444,14.8,No Logo
445,14.83,No Logo
446,14.87,No Logo
447,14.9,No Logo
448,14.93,No Logo
449,14.97,No Logo
450,15.0,No Logo
451,15.03,No Logo
452,15.07,No Logo
453,15.1,No Logo
454,15.13,No Logo
455,15.17,No Logo
456,15.2,No Logo
457,15.23,No Logo
458,15.27,No Logo
459,15.3,No Logo
460,15.33,No Logo
461,15.37,No Logo
462,15.4,No Logo
463,15.43,No Logo
464,15.47,No Logo
465,15.5,No Logo
466,15.53,No Logo
467,15.57,Fully Visible
468,15.6,No Logo
469,15.63,No Logo
470,15.67,Fully Visible
471,15.7,Fully Visible
472,15.73,Fully Visible
473,15.77,Fully Visible
474,15.8,Fully Visible
475,15.83,Fully Visible
476,15.87,Fully Visible
477,15.9,Fully Visible
478,15.93,Fully Visible
479,15.97,No Logo
480,16.0,Fully Visible
481,16.03,Fully Visible
482,16.07,Fully Visible
483,16.1,Fully Visible
484,16.13,Fully Visible
485,16.17,Fully Visible
486,16.2,Fully Visible
487,16.23,Fully Visible
488,16.27,Fully Visible
489,16.3,Fully Visible
490,16.33,Fully Visible
491,16.37,Fully Visible
492,16.4,Fully Visible
493,16.43,Fully Visible
494,16.47,Fully Visible
495,16.5,Fully Visible
496,16.53,Fully Visible
497,16.57,Fully Visible
498,16.6,Fully Visible
499,16.63,Fully Visible
500,16.67,Fully Visible
501,16.7,Fully Visible
502,16.73,Fully Visible
503,16.77,Fully Visible
504,16.8,Fully Visible
505,16.83,Fully Visible
506,16.87,Fully Visible
507,16.9,Fully Visible
508,16.93,Fully Visible
509,16.97,Fully Visible
510,17.0,Fully Visible
511,17.03,Fully Visible
512,17.07,Fully Visible
513,17.1,Fully Visible
514,17.13,Fully Visible
515,17.17,Fully Visible
516,17.2,Fully Visible
517,17.23,Fully Visible
518,17.27,Fully Visible
519,17.3,Fully Visible
520,17.33,Fully Visible
521,17.37,Fully Visible
522,17.4,Fully Visible
523,17.43,Fully Visible
524,17.47,Fully Visible
525,17.5,No Logo
526,17.53,No Logo
527,17.57,Fully Visible
528,17.6,Fully Visible
529,17.63,Fully Visible
530,17.67,Fully Visible
531,17.7,Fully Visible
532,17.73,Fully Visible
533,17.77,Fully Visible
